Esewa Pasal 
(' Afzal - Double Apple Hookah Flavour ', 'रु. 200.00')(' Afzal - Double Apple Hookah Flavour ', 'रु. 170.00')
(' Afzal - Kiwi Fusion Hookah Flavour ', 'रु. 200.00')(' Afzal - Kiwi Fusion Hookah Flavour ', 'रु. 170.00')
(' Afzal - Mint Tea Hookah Flavour ', 'रु. 200.00')(' Afzal - Mint Tea Hookah Flavour ', 'रु. 170.00')
(' Afzal - Paan Raas Hookah Flavour ', 'रु. 200.00')(' Afzal - Paan Raas Hookah Flavour ', 'रु. 170.00')
(' Afzal - Pine Apple Hookah Flavour ', 'रु. 200.00')(' Afzal - Pine Apple Hookah Flavour ', 'रु. 170.00')
(' Afzal - Straw Berry Hookah Flavour ', 'रु. 200.00')(' Afzal - Straw Berry Hookah Flavour ', 'रु. 170.00')
(' Arna Extra Strong Beer Bottle (650ml) ', 'रु. 245.00')(' Arna Extra Strong Beer Bottle (650ml) ', 'रु. 240.00')
(' El Jimador Blanco Tequila 1 Litre ', 'रु. 5,120.00')(' El Jimador Blanco Tequila 1 Litre ', 'रु. 5,100.00')
(' El Jimador Blanco Tequila 1 Litre ', 'रु. 5,100.00')(' El Jimador Blanco Tequila 1 Litre ', 'रु. 5,120.00')
(" Hendrick's Gin (700ml) ", 'रु. 5,553.00')(" Hendrick's Gin (700ml) ", 'रु. 5,397.00')
(" Hendrick's Gin (700ml) ", 'रु. 5,397.00')(" Hendrick's Gin (700ml) ", 'रु. 5,553.00')
(' Hookah - Green Bowl Design (Medium) ', 'रु. 1,100.00')(' Hookah - Green Bowl Design (Medium) ', 'रु. 1,300.00')
(' Hookah - Red Bowl Design (Medium) ', 'रु. 1,100.00')(' Hookah - Red Bowl Design (Medium) ', 'रु. 1,300.00')
(' Hookah Flat - Blue (Large) ', 'रु. 1,700.00')(' Hookah Flat - Blue (Large) ', 'रु. 1,850.00')
(' Hookah Flat - Flower Design Pink (Extra Large) ', 'रु. 2,300.00')(' Hookah Flat - Flower Design Pink (Extra Large) ', 'रु. 2,400.00')
(' Hukka - Silver Foil ', 'रु. 150.00')(' Hukka - Silver Foil ', 'रु. 100.00')
(' Old Durbar Black Chimney Whisky (750ml) ', 'रु. 2,800.00')(' Old Durbar Black Chimney Whisky (750ml) ', 'रु. 2,680.00')
(' Old Durbar Whisky (750ml) ', 'रु. 2,050.00')(' Old Durbar Whisky (750ml) ', 'रु. 1,970.00')
(' Pepe Lopez Gold (1L) ', 'रु. 4,899.00')(' Pepe Lopez Gold (1L) ', 'रु. 3,799.00')
(' Pepe Lopez Gold (1L) ', 'रु. 3,799.00')(' Pepe Lopez Gold (1L) ', 'रु. 4,899.00')
(' Ruslan Vodka Triple Distilled (750ml) ', 'रु. 1,375.00')(' Ruslan Vodka Triple Distilled (750ml) ', 'रु. 1,360.00')
(' Smoant Rabox Mini Including Tank Vape ', 'रु. 13,000.00')(' Smoant Rabox Mini Including Tank Vape ', 'रु. 10,000.00')
(' Smok - Vape Pen 22 ', 'रु. 1,700.00')(' Smok - Vape Pen 22 ', 'रु. 1,300.00')
(' Smok-Vape (Gold/Black) ', 'रु. 6,000.00')(' Smok-Vape (Gold/Black) ', 'रु. 4,500.00')
(' Switcher-Vape with Battery ', 'रु. 11,000.00')(' Switcher-Vape with Battery ', 'रु. 9,500.00')
(' Teslagics - Vape with battery (Dual Tank RDA) ', 'रु. 12,000.00')(' Teslagics - Vape with battery (Dual Tank RDA) ', 'रु. 11,500.00')
(' VGOD ELITE RDTA-24mm ', 'रु. 2,500.00')(' VGOD ELITE RDTA-24mm ', 'रु. 1,750.00')
(' Warsteiner Beer Case (650ml x 12 bottles) ', 'रु. 3,540.00')(' Warsteiner Beer Case (650ml x 12 bottles) ', 'रु. 3,499.00')
(' Wismec- Vape with battery ', 'रु. 11,000.00')(' Wismec- Vape with battery ', 'रु. 10,000.00')
(' XOMO GT Laser 255S Vape ', 'रु. 13,000.00')(' XOMO GT Laser 255S Vape ', 'रु. 11,000.00')
